Title,Release Date,Score / 5,MetaScore,Genre,Description (Wikipedia),US Art (Link)
The Immortal,1993-08-26,3.25,n/a,Action Adventure -General,"The Immortal Game was a chess game played by Adolf Anderssen and Lionel Kieseritzky on 21 June 1851 in London, during a break of the first international tournament. The bold sacrifices made by Anderssen to secure victory have made it one of the most famous chess games of all time. Anderssen gave up both rooksand a bishop, then his queen, checkmating his opponent with his three remaining minor pieces. In 1996, Bill Hartson called the game an achievement ""perhaps unparalleled in chess literature"".",https://images.launchbox-app.com/60913e14-662d-43ab-b8e9-ff8191f1353d.jpg
James Pond II: Codename: Robocod,1991,3.24,n/a,Action -Platformer -2D,"James Pond 2: Robocod, also known as Super James Pond, is a platformvideo game and sequel to James Pond. It was developed by the same British teams as the original. The title music by Richard Joseph is a marimba-heavy rendition of the RoboCop film theme.",https://images.launchbox-app.com/e8030b2c-1e51-458e-81a5-7861c9e54156.jpg
Rambo III,1989,3.24,n/a,Action -Shooter -Shoot-'Em-Up -Top-Down,"Rambo III is a series of video games based on the film of the same name. Like in the film, their main plots center on former Vietnam-era Green Beret John Rambo being recalled up to duty one last time to rescue his former commander, Colonel Sam Trautman, who was captured during a covert operation mission in Soviet Union-controlled Afghanistan. The console versions are developed and published by Sega, the PC DOS version was developed by Ocean and published by Taito and Ocean developed and published the rest (Atari ST, Amiga, Spectrum, C64, Amstrad). Taito also released an arcade game based on the film.",https://images.launchbox-app.com/rambo3.png
Sword of Vermilion,1990,3.24,n/a,Role-Playing -Action RPG,"Sword of Vermilion is an action role-playing game developed and published by Sega for the Mega Drive console in 1989. It was released in 1991 in North America and Europe. It was the first console exclusive game designed by Yu Suzuki, and designed by his Sega AM2 studio. The game is part of the Sega Genesis Collection for the PlayStation 2 and PlayStation Portable, and was available on the Wii's Virtual Console.",https://images.launchbox-app.com/21957785-5f45-436b-9bfc-a531c89208e6.jpg
Super Smash T.V.,1992,3.24,n/a,Action -Shooter -Shoot-'Em-Up -Top-Down,"Smash TV is a 1990 arcade game created by Eugene Jarvis and Mark Turmell for Williams. It revolves around a futuristic, violent game show in which players move through a series of rooms collecting prizes and clearing out waves of enemies using guns and power-up abilities. It is a dual-stick shooter in the same vein as 1982's Robotron: 2084 (co-created by Jarvis).",https://images.launchbox-app.com/fd1ccdb1-7080-4b3b-990c-574d031e3ee1.jpg
Target Earth,1990,3.24,n/a,Action -Shooter -Shoot-'Em-Up -Vertical,Assault Suit Leynos (重装機兵レイノス Jūsō Kihei Reinosu) is a video gamedeveloped by Masaya in 1990 for the Sega Mega Drive. It was released in America as Target Earth. It has since been re-released on the Wii as a Virtual Console product in Japan. It is the first game in the Assault Suits series.,https://images.launchbox-app.com/c819e349-38ce-4d37-8039-b9de1ffd9f85.jpg
Sonic the Hedgehog Spinball,1993-11-14,3.23,n/a,Action -Pinball,"Sonic the Hedgehog Spinball, commonly abbreviated to Sonic Spinball, is a 1993 pinball video game developed by Sega Technical Institute and published by Sega. It is a spinoff of the Sonic the Hedgehog series set in the universe of the Sonic the Hedgehog animated series. Players control Sonic the Hedgehog, who must stop Doctor Robotnik from enslaving the population in a giant pinball-like mechanism. The game is set in a series of pinball machine-like environments, and Sonic acts as a pinball for the majority of the game.",https://images.launchbox-app.com/d535d35e-6742-4351-87d6-9284cebb39e9.jpg
Chuck Rock,1992,3.23,n/a,Action -Platformer -2D,"Chuck Rock is a 1991 slapstick side-scrolling platform video game developed and published by Core Design for the Atari ST and Amiga computers. A Commodore 64 port followed in 1992 and an Amiga CD32 version in 1994. The game was subsequently published by Krisalis Software for the Acorn Archimedes. Virgin Interactive published the game for the Sega Mega Drive/Genesis, Master System, and the Game Gear. Sony Imagesoft published the game for the Sega Mega-CD, Super NES, and Game Boy.",https://images.launchbox-app.com/677dbd6e-acbf-4dfe-b4bf-bb2130c84dcc.jpg
Chase H.Q. II,1992-10-22,3.23,n/a,Racing -Arcade -Automobile,"Chase H.Q. (チェイスH.Q., ""Chase Headquarters"") is a 1988 arcade racing game, released by Taito. It is sometimes seen as a spiritual successor to Taito's earlier Full Throttle. The player assumes the role of a police officer named Tony Gibson, member of the ""Chase Special Investigation Department."" Along with his partner, Raymond Broady, he must stop fleeing criminals in high-speed pursuits in a black Porsche 928.",https://images.launchbox-app.com/76b957ae-2e5c-449d-a701-d9c1e71d4783.jpg
Venom - Spider-Man: Separation Anxiety,1995-06-21,3.23,n/a,Action -Beat-'Em-Up -2D,"Venom/Spider-Man: Separation Anxiety is a side-scrolling beat 'em up video game and sequel to Spider-Man and Venom: Maximum Carnage, released for Mega Drive/Genesis and Super NES and then ported to PC. One or two players team up as Spider-Man and Venom to defeat the evil symbioteCarnage. The game boasts a large number of thugs that the player has to defeat: heavily armed Jury and Venom's symbiote children. There is also cameo assistance from Captain America, Ghost Rider, Hawkeye, and Daredevil.",https://images.launchbox-app.com/0d3ceacd-588d-4466-82ee-ca91cffc11b2.jpg
Paperboy,1991,3.22,n/a,Action -Arcade,"Paperboy is an arcade game developed and published by Atari Games. It was released in North America in April 1985. The player takes the role of a paperboy who delivers a fictional newspaper called ""The Daily Sun"" along a suburban street on his bicycle. The arcade version of the game featured bike handlebars as the controller.",https://images.launchbox-app.com/47f1445a-5465-4a6d-b899-45868d8e8c8a.jpg
Fatal Labyrinth,1991,3.22,n/a,Role-Playing -Roguelike,"Fatal Labyrinth, titled Shi no Meikyuu: Labyrinth of Death (死の迷宮) in Japan, is a role-playing video game developed and published by Sega. Originally available exclusively on the Sega Meganet multiplayer gaming service in 1990, it was later remade for the Sega Genesis in 1991. The game appears in Sonic's Ultimate Genesis Collection for Xbox 360 and PlayStation 3. The game was also released for Microsoft Windows on September 13, 2010. The game is similar to and shares assets with Dragon Crystal, which was also released around that time.",https://images.launchbox-app.com/d8ac6072-df20-4aef-b2f0-fa4d35fd57ae.jpg
Gargoyles,1995,3.22,n/a,Action -Platformer -2D,Gargoyles is a platform game developed by Disney Software and published by Buena Vista Interactive for the Sega Genesis in 1995. It is an adaptation of the Disney animated series of the same title.,https://images.launchbox-app.com/01ee6602-f441-4a6c-af96-6f50fe684b49.jpg
Zero the Kamikaze Squirrel,1994,3.21,n/a,Action -Platformer -2D,"Zero the Kamikaze Squirrel is a video game developed by Iguana Entertainment, and published by Sunsoft in 1994. It is a spin-off of the Aero the Acro-Bat series and was released for the Sega Genesis first in October then for the Super NES in November along with the release of Aero the Acro-Bat 2.",https://images.launchbox-app.com/259d391b-5742-4604-b81a-d318d4275820.jpg
Mystic Defender,1989,3.21,n/a,Action -Platformer -2D,"Mystic Defender is a two-dimensional action run and gun video game released for the Sega Genesis system. Originally titled Kujakuō 2: Geneijō (孔雀王2) in Japan and based on the anime/manga Kujaku Ou, it is the sequel to SpellCaster for the Sega Master System.",https://images.launchbox-app.com/22997f1c-1f81-45af-91ac-c81eb6aa200e.jpg
Prince of Persia,1993,3.21,n/a,Action -Platformer -2D,"Prince of Persia is a video game franchise created by Jordan Mechner, originally developed and published by Brøderbund, then The Learning Company, and currently Ubisoft. The franchise is built around a series of action-adventure games focused on various incarnations of the eponymous prince. The first game in the series was designed by Mechner after the success of his previous game with Brøderbund, Karateka. The original title spawned two sequels. The series has been rebooted twice since its acquisition by Ubisoft, and has been made into a film, Prince of Persia: The Sands of Time, penned in part by Mechner and released by Walt Disney Pictures in 2010. Since the first remake of Prince of Persia, the series has seen eight sequels on more than 10 different gaming platforms, from the Game Boy Advance to the PlayStation 3.",https://images.launchbox-app.com/440b0686-749d-4646-9752-4e4ab9154983.jpg
Bulls vs Lakers and the NBA Playoffs,1992,3.16,n/a,Sports -Team -Basketball -Sim,"Bulls vs Lakers and the NBA Playoffs is a basketball video game developed by Electronic Arts and released in 1992 exclusively for the Sega Mega Drive. The game is the sequel to Lakers versus Celtics. The game's name refers to the previous season's NBA championship series, the 1991 NBA Finalsmatchup between the Chicago Bulls and Los Angeles Lakers. It is the second game in the NBA Playoffs series of games.",https://images.launchbox-app.com/117805c2-7cfa-46a0-99a0-40e0086640ab.jpg
Monopoly,1992,3.15,n/a,Miscellaneous -Board / Card Game,"Monopoly is a board game currently published by Hasbro. In the game, players roll two six-sided dice to move around the game board, buying and trading properties, and developing them with houses and hotels. Players collect rent from their opponents, with the goal being to drive them into bankruptcy. Money can also be gained or lost through Chance and Community Chest cards, and tax squares; players can end up in jail, which they cannot move from until they have met one of several conditions. The game has numerous house rules, and hundreds of different editions exist, as well as many spin-offs and related media. Monopoly has become a part of international popular culture, having been licensed locally in more than 103 countries and printed in more than 37 languages.",https://images.launchbox-app.com/fdc677fb-79bb-4d0b-a59b-754b47f06fd5.jpg
Joe & Mac,1993,3.15,n/a,Action -Platformer -2D,"Joe & Mac, also known as Caveman Ninja and Caveman Ninja: Joe & Mac, is a 1991 platform game released for the arcades by Data East. It was later adapted for the Super NES, Mega Drive/Genesis, Nintendo Entertainment System, Game Boy, Amiga, Zeebo, Nintendo Switch, and PC.",https://images.launchbox-app.com/09545056-fa74-468f-b10a-3f0de346ef71.jpg
Cyborg Justice,1993,3.15,n/a,Action -Beat-'Em-Up -2D,Cyborg Justice is a side-scrolling beat 'em up video game developed by Novotrade and released in 1993 for the Sega Mega Drive.,https://images.launchbox-app.com/42490519-6cf7-488d-afea-56c2540c15cd.jpg
MTV's Beavis and Butt-head,1994,3.15,n/a,Action Adventure -General,"Beavis and Butt-Head (advertised as MTV's Beavis and Butt-Head: The Game) is the title of three tie-in video games based on the animated television series of the same name that were released by Viacom New Media in 1994 for the Super NES, Genesis/Mega Drive and Game Gear. The three versions differ completely from each other, sharing only the basic premise involving the titular characters searching for tickets to a Gwar concert. The games were advertised as featuring music by the band. A fourth version was later released for the Game Boy by GT Interactive Software in 1998 without the Gwar tie-in.",https://images.launchbox-app.com/c470a6a7-ea5a-4100-8d87-792e1c7c6a1c.jpg
Wonder Boy III: Monster Lair,2009-04-20,3.14,n/a,Action -Shooter -Shoot-'Em-Up -Horizontal,"Wonder Boy III: Monster Lair (ワンダーボーイIII モンスターレア Wandā Bōi Surī: Monsutā Reā, ""Wonder Boy III Monster Lair"") is a side-scrolling action game developed by Westone Bit Entertainment that was originally released for the arcades by Sega in 1988. It is the third game in the Wonder Boy series and the last one released for the arcade. A console adaptation was made by Hudson Soft, released in 1989 in Japan for the PC Engine CD-ROM² Systemand the subsequent North American release on the TurboGrafx-CD dropped the 'Wonder Boy III' title. It was also converted and released by Sega for the Mega Drive in Japan in 1990 and Europe in 1991. Both, the TurboGrafx-CD and Mega Drive versions have been re-released for the Wii Virtual Console.",https://images.launchbox-app.com/476b900f-a32a-489b-a737-3513e79c94d5.jpg
Sonic 3D Blast,1996-11-09,3.14,n/a,Action -Platformer -2D,"Sonic 3D Blast, known in Europe as Sonic 3D: Flickies' Island, is a 1996 platform game in the Sonic the Hedgehog series for the Sega Genesis and Sega Saturn. As Sonic the Hedgehog, the player embarks on a journey to save the Flickies, birds enslaved by Doctor Robotnik. The player must guide Sonic through a series of themed levels to collect Flickies and defeat Robotnik. Though it retains game mechanics from prior Sonic games, Sonic 3D Blast is differentiated by its isometric perspective, with pre-rendered 3D modelsconverted into sprites.",https://images.launchbox-app.com/c40f19f8-52f2-4c2a-8aae-73497e4887be.jpg
Tom and Jerry: Frantic Antics!,1994-01-14,3.14,n/a,Action -Platformer -2D,,https://images.launchbox-app.com/8cc10ff2-9b99-43c7-b292-5983852ff3f2.jpg
"Zool: Ninja of the ""Nth"" Dimension",1993,3.14,n/a,Action -Platformer -2D,Zool: Ninja of the Nth Dimension is a platform game originally produced for the Amiga by Gremlin Graphics in 1992. It was later ported to several other platforms and followed by Zool 2 in 1993.,https://images.launchbox-app.com/bf00e006-7632-459b-ad65-7c39a5d556d7.jpg
Greendog: The Beached Surfer Dude!,1992,3.13,n/a,Action -Platformer -2D,"Greendog: The Beached Surfer Dude! is a platform gamedeveloped by Sega Technical Institute and Interactive Designs for the Sega Genesis home console, and was published by Sega in September 1992. A ported version for the handheld Game Gear was released a year later",https://images.launchbox-app.com/6388e7ae-8a18-438a-852d-b95e0247fb47.jpg
Altered Beast,1989-08-14,3.13,n/a,Action -Beat-'Em-Up -2D,"Altered Beast is a 1988 beat 'em up arcade game developed and manufactured by Sega. The game is set in Ancient Greece, and follows a centurion who is resurrected by Zeus to rescue his daughter Athena. In order to save his daughter, Zeus transforms the centurion into beasts with the use of power-ups. After its initial arcade release, it was ported to several home video game consoles and home computers, including the Mega Drive/Genesis, for which it was a",https://images.launchbox-app.com/5f549342-0586-442c-b52b-87f2a17798ba.jpg
Pac-Man 2: The New Adventures,1994,3.12,n/a,Action -Platformer -2D,"Pac-Man 2: The New Adventures, known in Japan as Hello! Pac-Man (ハロー! パックマン), is a side-scrolling adventure game ""sequel"" to Pac-Man. Instead of being a maze game like the majority of its predecessors, Pac-Man 2 incorporates light point-and-click adventure game elements. It was produced and published by Namco for the Super Nintendo Entertainment System (SNES) and Sega Mega Drive/Genesis systems, and was released in 1994 by Namco. The game borrows its structure and certain elements from Pac-Land, and also appears to contain certain elements from the animated series, such as Pac-Man's family and a main villain commanding the ghosts. The SNES version of Pac-Man 2 was re-released on the Wii U Virtual Console on 3 March 2016. ",https://images.launchbox-app.com/b26386cb-61b1-4408-a970-8ff79dc08bc1.jpg
Mighty Morphin Power Rangers,1994,3.12,n/a,Action -Fighting -2D,"Mighty Morphin Power Rangers is the title of five different video games based on the first season of the television series of the same name, one for each of the following game platforms: Sega Genesis/Mega Drive, Super Nintendo Entertainment System, Game Boy, Game Gear, and Sega CD. The Nintendo versions of the game were released by Bandai, while the Sega versions were published by Sega themselves. The Green Ranger is only playable on the Genesis and Game Gear versions of the game.",https://images.launchbox-app.com/a40aef1f-161e-4254-ac7a-987d4d492909.jpg
The Terminator,Feb-92,3.11,n/a,Action -Platformer -2D,"The Terminator is a 1984 American science fiction action filmdirected by James Cameron. It stars Arnold Schwarzenegger as the Terminator, a cyborg assassin sent back in time from 2029 to 1984 to kill Sarah Connor (Linda Hamilton), whose son will one day become a savior against machines in a post-apocalyptic future. Michael Biehnplays Kyle Reese, a soldier from the future sent back in time to protect Connor. The screenplay is credited to Cameron and producer Gale Anne Hurd, while co-writer William Wisher Jr. received a credit for additional dialogue. Executive producers John Daly and Derek Gibson of Hemdale Film Corporation were instrumental in the film's financing and production.",https://images.launchbox-app.com/b9b142a7-78e5-43cc-91bd-8474be2bc8fd.jpg
Stargate,1994,3.1,n/a,Action -Platformer -2D,"Stargate is a science fiction media franchise based on the film written by Dean Devlin and Roland Emmerich. The franchise is based on the idea of an alien Einstein–Rosen bridge device (the Stargate) that enables nearly instantaneous travel across the cosmos. The franchise began with the film Stargate, released on October 28, 1994, by Metro-Goldwyn-Mayer and Carolco, which grossed US$197 million worldwide. In 1997, Brad Wright and Jonathan Glassner created a television series titled Stargate SG-1 as a sequel to the film. This show was joined by Stargate Atlantis in 2004, Stargate Universe in 2009, and a prequel web series, Stargate Origins, in 2018. Also consistent with the same story are a variety of books, video games and comic books, as well as the direct-to-DVD movies Stargate: Children of the Gods, Stargate: The Ark of Truth, and Stargate: Continuum, which concluded the first television show after 10 seasons.",https://images.launchbox-app.com/4bf5509f-fbf1-4c1d-ae28-c507ea11ce92.jpg
Crack Down,1991-05-11,3.1,n/a,Action -General,"Crackdown is an open world action-adventure video gamedeveloped by Realtime Worlds and distributed by Microsoft Game Studios for the Xbox 360. It was released in North America on 20 February 2007, and worldwide by 23 February 2007. Crackdown was conceived by Realtime Worlds' founder, David Jones, who also created Grand Theft Auto and Lemmings.",https://images.launchbox-app.com/f7ae3246-744d-42ea-acad-a421b82f7a79.jpg
Ecco Jr.,1995-08-15,3.08,n/a,Action -Platformer -2D,"Ecco Jr. is a video game in the Ecco the Dolphin series, released in North America on August 15, 1995, and in Australia in November 1995. It had the controls and basic gameplay of the other two Mega Drive/Genesis titles, but is geared towards younger players, lacking the high difficulty of Ecco the Dolphin and Ecco: The Tides of Time.",https://images.launchbox-app.com/2ce5fe83-65d6-4f0b-a9bd-3f3ab998caff.jpg
Bugs Bunny in Double Trouble,1996,3.08,n/a,Action -Platformer -2D,"Bugs Bunny in Double Trouble is a Looney Tunes video gamedeveloped by Atod AB for the Sega Genesis and Game Gear, released in 1996. The game stars Bugs Bunny and features pre-rendered 3D graphics.",https://images.launchbox-app.com/66e0263e-709d-42e9-8688-1bb9ac4df0ad.jpg
Judge Dredd,1995,3.07,n/a,Action -Platformer -2D,"Judge Joseph Dredd is a fictional character created by writer John Wagner and artist Carlos Ezquerra. He first appeared in the second issue of 2000 AD (1977), which is a British weekly anthology comic. He is the magazine's longest-running character. He also appears in a number of movie and video game adaptations.",https://images.launchbox-app.com/f2b721b0-eabe-4ba2-8060-250cd14696f5.jpg
Alien 3,1992,3.06,n/a,Action -Platformer -2D,"Alien 3 (stylized as ALIEN³) is a 1992 American science fiction action horror film directed by David Fincher and written by David Giler, Walter Hill and Larry Ferguson from a story by Vincent Ward. It stars Sigourney Weaver reprising her role as Ellen Ripley and is the third film installment in the Alien franchise, preceded by Aliens (1986) and succeeded by Alien Resurrection (1997).",https://images.launchbox-app.com/4d6fc22c-6c20-424e-b313-ae24f698ea0e.jpg
Taz-Mania,1992-12-24,3.06,n/a,Action -Platformer -2D,"Taz-Mania is an American cartoon sitcom produced by Warner Bros. Animation from 1991 to 1995, broadcast in the United States on Fox. The show follows the adventures of the ""Looney Tunes"" character Taz (The Tasmanian Devil) in the fictional land of Tazmania (based on Tasmania).",https://images.launchbox-app.com/e3400d1a-614e-4696-947f-7f5d8a9dc58b.jpg
Teenage Mutant Ninja Turtles: Tournament Fighters,1993-12-02,3.05,n/a,Action -Fighting -2D,"Teenage Mutant Ninja Turtles: Tournament Fighters, or Teenage Mutant Hero Turtles: Tournament Fighters in Europe, is the title of three different fighting games based on the characters the Teenage Mutant Ninja Turtles, produced by Konami for the Nintendo Entertainment System, Sega Genesis, and Super NES and released during a period between 1993 and 1994. Konami produced a different fighting game based on the franchise for each platform, featuring a differing cast of characters.",https://images.launchbox-app.com/f14c282c-3d38-4d3e-8f98-6ddbb18ecd95.jpg
Disney's TaleSpin,1992,3.03,n/a,Action -Platformer -2D,"TaleSpin is an American animated television series based in the fictional city of Cape Suzette, that first aired in 1990 as a preview on Disney Channel and later that year as part of The Disney Afternoon, with characters adapted from Disney's 1967 animated feature The Jungle Book (namely, some of the film's animals being given an anthropomorphical makeover while the humans are removed), which was theatrically rereleased in the summer before this show premiered in the fall. The name of the show is a play on ""tailspin"", the rapid descent of an aircraft in a steep spiral. The two words in the show's name, tale and spin, are a way to describe telling a story. The show is one of ten Disney Afternoon shows to use established Disney characters as the main characters, with the others being Darkwing Duck, DuckTales, Chip 'n Dale: Rescue Rangers, Goof Troop, Bonkers, Quack Pack, Aladdin, Timon & Pumbaa and Jungle Cubs. It is also one of the two animated television series based on The Jungle Book along with Jungle Cubs.",https://images.launchbox-app.com/481ba054-0abc-4b11-b166-e6b096d68f29.jpg
Virtual Bart,1994,3.02,n/a,Action -General,Virtual Bart is a video game developed by Sculptured Software and published by Acclaim. It was released for the Super NES and Genesisin 1994.,https://images.launchbox-app.com/2ab04a86-8636-42c1-987e-5a24ef8b9127.jpg
Primal Rage,1994,3.02,n/a,Action -Fighting -2D,"Primal Rage is a versus fighting game developed and released by Atari Games to arcades in 1994. The game takes place in a post-apocalyptic version of Earth called ""Urth"". Players control one of seven large beasts that battle each other to determine the planet's fate. Matches feature many of the conventions of fighting games from the era including special moves and gory finishing maneuvers.",https://images.launchbox-app.com/primrage.png
Joe Montana II: Sports Talk Football,1991,3.01,n/a,Sports -Team -Football -Sim,"Joe Montana Football is an American football video gamedeveloped by Electronic Arts, and published by Sega for the Genesisin 1991. Although the game does feature Joe Montana (as the title respectively says) as a playable character, since Sega did not secure the rights from the NFL, teams are named generically after US cities, meaning Joe Montana is the only real player in the game.",
Spider-Man (Animated Series),1995,3.01,n/a,Action Adventure -General,"Spider-Man is a side-scrolling action game developed by Western Technologies and published by Acclaim and LJN in 1995, incorporating elements from the critically acclaimed 1990s Spider-Man cartoon series. The game was released for the Genesis and the Super NES. The two versions of the game have the same basic story but have gameplay, level, and enemy differences.",
Batman Returns,1992,3,n/a,Action -Beat-'Em-Up -2D,"Batman Returns is a 1992 American superhero film directed by Tim Burton, based on the DC Comics character Batman. It is a sequel to the 1989 film Batman and the second installment of Warner Bros.initial Batman film series, with Michael Keaton reprising the role of Bruce Wayne / Batman. The film, produced by Denise Di Novi and Burton, also stars Danny DeVito, Michelle Pfeiffer, Christopher Walken, Michael Gough, Pat Hingle, and Michael Murphy. In Batman Returns, Batman finds a new foe in the form of the Penguin, whose aim is to kill all of Gotham City's firstborn sons, while dealing with Selina Kyle/Catwoman, the former secretary of businessman Max Shreck and who seeks vengeance against Shreck for attempting to kill her to hide his own plans to bring the city under his control.",https://images.launchbox-app.com/949ce8cb-7d10-4fcd-907a-405d45feed07.jpg
California Games,1991,3,n/a,Sports -Individual -Athletics,"California Games is a 1987 Epyx sports video game originally released for the Apple II and Commodore 64 and ported to other home computers and video game consoles. Branching from their popular Summer Games and Winter Games series, this game consists of a collection of outdoor sports purportedly popular in California. The game was successful for Epyx and spawned a sequel.",https://images.launchbox-app.com/f4e53909-34b9-4278-bc63-72a82ecc7639.jpg
World Championship Soccer,1989,2.9,n/a,Sports -Team -Soccer -Sim,World Championship Soccer (ワールドカップサッカー) is a soccer game running on Sega's Mega-Tech arcade cabinet system and was released as one of the first games for the Sega Genesis system in North America in September 1989.,https://images.launchbox-app.com/e0be84cb-4c84-459e-b884-6a7378b56eee.jpg
Aero the Acro-Bat,1993,2.98,n/a,Action -Platformer -2D,"Aero the Acro-Bat is a 1993 video game developed by Iguana Entertainment and published by Sunsoft. It was released for both the Super Nintendo Entertainment System and Sega Genesis. Aero the Acro-Bat, a red anthropomorphic bat, was created by David Siller. In 2002, Metro 3D released a version of the game for the Game Boy Advance, with a battery back-up (which the original versions lacked). The GBA version was titled Aero The Acro-Bat - Rascal Rival Revenge in Europe and Acrobat Kid in Japan. The SNES version of the game was released on the Wii's Virtual Consolein the PAL region on July 23, 2010, and in North America on July 26, 2010.",https://images.launchbox-app.com/32858c5e-86b6-4d44-93e5-3beb9bd02209.jpg
Predator 2,1992,2.96,n/a,Action -Platformer -2D,"Predator 2 is a 1990 American science fiction action film written by brothers Jim and John Thomas, directed by Stephen Hopkins, and starring Danny Glover, Ruben Blades, Gary Busey, María Conchita Alonso, Bill Paxton, and Kevin Peter Hall. The film is the second installment of the Predator franchise, serving as a sequel to 1987's Predator, with Kevin Peter Hall reprising the title role of the Predator. Set ten years after the events of the first film, in Los Angeles, the film focuses on the Predator, a technologically advanced alien hunter, and the efforts of a disgruntled police officer and his allies to defeat the malevolent creature.",https://images.launchbox-app.com/689a47c0-925e-4f80-83a3-460d206124ae.jpg
WWF Super Wrestlemania,1992,2.95,n/a,Sports -Individual -Combat -Wrestling,"WWF Super WrestleMania is a multiplatform wrestling video game based on the World Wrestling Federation (WWF), released in 1992 for the Super Nintendo Entertainment System and the Mega Drive/Genesis.",https://images.launchbox-app.com/220c812b-bc8b-4475-9de2-280d01487c90.jpg
Blaster Master 2,1993,2.95,n/a,Action -Platformer -2D,"Blaster Master 2 is a video game developed by Software Creationsand published exclusively in North America by Sunsoft of America for the Sega Genesis on March 15, 1993. The game is a sequel to the original Blaster Master originally published for the Nintendo Entertainment System (NES). It was published specifically for the North American market following the success of the first NES game in the same region. The staff of the original Japanese version of Blaster Master, titled Chô Wakusei Senki Metafight, had nothing to do with Blaster Master 2, and Sunsoft Japan did not release BM2 in Japan.",https://images.launchbox-app.com/48e9afa7-4fe6-4229-8e7c-54710b1d040d.jpg
Warlock,1994,2.94,n/a,Action -Platformer -2D,"Warlock is a side-scrolling action video game based on the 1989 horror film series of the same title. It was released on May 26, 1995 through Acclaim Entertainment for the Genesis and Super NESplatforms. A version for the Atari Jaguar was planned by Trimark Interactive but never released.",https://images.launchbox-app.com/34fbc2cd-fd7d-46b5-885e-57948fc2cd7c.jpg
Home Alone,1992,2.94,n/a,Action -General,"Home Alone is the title of several tie-in video games based on the film of the same name. Versions were released for the Nintendo Entertainment System, Game Boy, Super NES, Master System, Genesis, Game Gear, Amiga and MS-DOS platforms.",https://images.launchbox-app.com/9e7313ad-0196-4619-8932-915809042881.png
Bubsy in: Claws Encounters of the Furred Kind,1993,2.94,n/a,Action -Platformer -2D,"Bubsy in Claws Encounters of the Furred Kind, known as Bubsyor Bubsy 1 for short, is a platform video game released by Accoladein the early 1990s. It is the first game in the Bubsy series of video games. The game's name is a play on words in reference to the film Close Encounters of the Third Kind, with the game revolving around Bubsy defending the planet's supply of yarnballs from alieninvaders. The game received a sequel, Bubsy 2, in 1994.",https://images.launchbox-app.com/45ac2966-8245-44b0-b1ae-20aab2699e2a.jpg
Art of Fighting,1994-01-13,2.93,n/a,Action -Fighting -2D,"Art of Fighting (Japanese: 龍虎の拳 Hepburn: Ryūko no Ken, lit. ""Fist of Dragon and Tiger"") is a fighting video game trilogy that were released for the Neo Geo platform in the early 1990s. It was the second fighting game franchise created by SNK, following the Fatal Fury series and is set in the same fictional universe as a prequel to the Fatal Fury series. The original Art of Fighting was released in 1992, followed by two sequels: Art of Fighting 2 (龍虎の拳2 Ryūko no Ken 2) in 1994 and Art of Fighting 3: The Path of the Warrior(ART OF FIGHTING 龍虎の拳 外伝 Art of Fighting: Ryūko no Ken Gaiden) in 1996.",https://images.launchbox-app.com/f960bf93-c32b-4719-aa73-cedb19d38402.jpg
B.O.B.,1993,2.93,n/a,Action -Platformer -2D,"Bob's Game (stylized as ""bob's game"") was a role-playing video game being developed by independent video game developer Robert Pelloni since 2003/2004. The project is most notable for Pelloni developing the game using open source software development toolsand Nintendo's refusal to license him the official SDK as well as Bob's response to that decision.",https://images.launchbox-app.com/6d93c118-a417-4e13-b471-a5eac4561788.jpg
Alex Kidd in the Enchanted Castle,1989-08-14,2.92,n/a,Action -Platformer -2D,"Alex Kidd in the Enchanted Castle (アレックスキッド 天空魔城Arekkusu Kiddo Tenkū Majō) is a side-scrolling platform gamedeveloped and published by Sega for the Sega Genesis video game console. The game was released in Japan in February 1989, in the U.S. in March 1991 and in Europe on November 1990. It is the only 16-bit platform game starring Alex Kidd, and the fifth game in the Alex Kidd series of video games.",https://images.launchbox-app.com/adcc6997-48bf-4ab7-a5ff-819c55aee529.jpg
Krusty's Super Fun House,1993,2.92,n/a,Puzzle -Action,Krusty's Fun House is a video game based on the animated sitcomThe Simpsons.,https://images.launchbox-app.com/90620715-081c-499d-9a45-0c6d55bbd146.jpg
Double Dragon,1993,2.91,n/a,Action -Beat-'Em-Up -2D,"Double Dragon (ダブルドラゴン Daburu Doragon) is a beat 'em upvideo game series initially developed by Technōs Japan and released as an arcade game in 1987. The series stars twin martial artists, Billy and Jimmy Lee, as they fight against various adversaries and rivals. Due to the popularity of the game series, an animated series and live-action film adaptation have also been produced.",https://images.launchbox-app.com/09f6ae32-3f33-4236-a90a-55d385c863c4.jpg
Wolverine: Adamantium Rage,1994,2.91,n/a,Action -Platformer -2D,"Wolverine: Adamantium Rage is a platform-action video game released for both the Super NES and the Sega Genesis in 1994. The Genesis version was developed by Teeny Weeny Games, while the Super NES version was developed by Bits Studios. Both versions of the title were developed separately and differed from one another in some key areas, but their opening storyline and gameplay remain similar. It is one of the first video games to feature a recharging health system, though Wolverine has been able to recharge his health in previous X-Men games.",https://images.launchbox-app.com/af3c7324-c253-40dd-a524-64c8a8d0f6c6.jpg
